"Fist of Fear","tt0080741","1","0","2","0","1980","90","
English","
Hong Kong","DVD","US","American"
"Fists of Fury","tt0067824","1","0","6.5","0","1971","101","
Mandarin","
Hong Kong","DVD","US","American"
"Full Metal Jacket","tt0093058","1","9","8.3","0","1987","0","
English","
UK","DVD","US","American"
"Gandhi","tt0083987","1","8.5","8.2","0","1982","0","
English","
UK","DVD","US","American"
"Gladiator","tt0172495","1","8.5","8.3","0","2000","0","
English","
UK","DVD","US","American"
"Gosford Park","tt0280707","1","8","7.2","0","2001","0","
English","
UK","DVD","US","American"
"Grave of the Fireflies","tt0095327","1","10","8.2","0","1988","85","
English","
Japan","DVD","JP","Japanese"
"High and Low","tt0057565","1","8","8.2","0","1963","143","
Japanese","
Japan","DVD","JP","Japanese"
"Ikiru","tt0044741","1","8","8.1","0","1952","143","
Japanese","
Japan","DVD","JP","Japanese"
"Iron monkey","tt0108148","1","6.5","7.6","0","1993","90","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Jesus Christ Superstar","tt0070239","1","7.5","6.8","0","1973","0","
English","
USA","DVD","US","American"
"Joint Security Area","tt0260991","1","8.5","7.8","0","2000","0","
English","
South Korea","DVD","KR","Korean"
"Kiki's Delivery Service","tt0097814","1","7","7.9","0","1989","0","
Japanese","
Japan","DVD","JP","Japanese"
"King of Hearts","tt0060908","1","6","7.1","0","1966","0","
French","
France","DVD","FR","France"
"Laputa Castle in the Sky","tt0092067","1","10","8.1","0","1986","0","
Japanese","
Japan","DVD","JP","Japanese"
"Lawrence of Arabia","tt0056172","1","7.5","8.6","0","1962","216","
English","
UK","DVD","US","American"
"Life of Brian","tt0079470","1","8.5","8.2","0","1979","0","
English","
UK","DVD","US","American"
"Lord of the Rings: The Fellowship of the Ring","tt0120737","1","8.5","8.7","0","2001","0","
English","
New Zealand","DVD","US","American"
"Lord of the Rings: The Return of the King","tt0167260","1","10","8.8","0","2003","0","
Quenya","
USA","DVD","US","American"
"Lord of the Rings: The Two Towers","tt0167261","1","9","8.6","0","2002","0","
English","
USA","DVD","US","American"
"Lost In Translation","tt0335266","1","9.5","7.9","0","2003","0","
English","
USA","DVD","US","American"
